"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Te veo todos los días","Ich sehe dich jeden Tag","Pronombres en akkusativ",0
"¿Me escuchas bien?","Hörst du mich gut?","Pronombres en akkusativ",0
"Él nos llama en la tarde","Er ruft uns am Nachmittag an","Pronombres en akkusativ",0
"¿Lo conoces?","Kennst du ihn?","Pronombres en akkusativ",0
"Nosotros la necesitamos ahora","Wir brauchen sie jetzt","Pronombres en akkusativ",0
"El profesor me entiende","Der Lehrer versteht mich","Pronombres en akkusativ",0
"Ellos te buscan afuera","Sie suchen dich draußen","Pronombres en akkusativ",0
"Yo lo encuentro en el parque","Ich finde ihn im Park","Pronombres en akkusativ",0
"¿Puedes invitarla a la fiesta?","Kannst du sie zur Party einladen?","Pronombres en akkusativ",0
"Él me visita mañana","Er besucht mich morgen","Pronombres en akkusativ",0
"¿Puedes llevarnos al aeropuerto?","Kannst du uns zum Flughafen bringen?","Pronombres en akkusativ",1
"Mi amiga te llamó ayer","Meine Freundin hat dich gestern angerufen","Pronombres en akkusativ",1
"Voy a ayudarlo con la tarea","Ich werde ihm mit der Aufgabe helfen","Pronombres en akkusativ",1
"El jefe nos felicitó por el trabajo","Der Chef hat uns für die Arbeit gelobt","Pronombres en akkusativ",1
"Compré el libro y lo leí en un día","Ich habe das Buch gekauft und es an einem Tag gelesen","Pronombres en akkusativ",1
"¿Dónde la viste por última vez?","Wo hast du sie zuletzt gesehen?","Pronombres en akkusativ",1
"Mis padres quieren conocerte","Meine Eltern wollen dich kennenlernen","Pronombres en akkusativ",1
"Voy a llamarlos esta noche","Ich werde sie heute Abend anrufen","Pronombres en akkusativ",1
"El camarero nos atendió rápido","Der Kellner hat uns schnell bedient","Pronombres en akkusativ",1
"Necesito verlo antes de salir","Ich muss ihn sehen, bevor ich gehe","Pronombres en akkusativ",1
"Ella lo compró ayer","Sie hat es gestern gekauft","Pronombres en akkusativ",1
"Quiero visitarlos en verano","Ich möchte sie im Sommer besuchen","Pronombres en akkusativ",1
"Puedes preguntarle después","Du kannst ihn später fragen","Pronombres en akkusativ",1
"Ellos no me entienden bien","Sie verstehen mich nicht gut","Pronombres en akkusativ",1
"Él quiere invitarte a cenar","Er möchte dich zum Abendessen einladen","Pronombres en akkusativ",1
"Te ayudaré cuando pueda","Ich werde dir helfen, wenn ich kann","Pronombres en akkusativ",1
"Los vi entrar al supermercado","Ich habe sie in den Supermarkt gehen sehen","Pronombres en akkusativ",1
"Ella me llamó desde el tren","Sie hat mich aus dem Zug angerufen","Pronombres en akkusativ",1
"Los niños nos esperan afuera","Die Kinder warten draußen auf uns","Pronombres en akkusativ",1
"Lo quiero intentar otra vez","Ich will es noch einmal versuchen","Pronombres en akkusativ",1
"No puedo imaginarme viviendo en otro país","Ich kann mich nicht vorstellen, in einem anderen Land zu leben","Pronombres en akkusativ",2
"El médico quiere examinarme de nuevo","Der Arzt möchte mich noch einmal untersuchen","Pronombres en akkusativ",2
"No los reconocí al principio por las máscaras","Ich habe sie zuerst wegen der Masken nicht erkannt","Pronombres en akkusativ",2
"Mi jefe quiere verte urgentemente","Mein Chef möchte dich dringend sehen","Pronombres en akkusativ",2
"¿Podrías recogerlo si llega antes?","Könntest du ihn abholen, wenn er früher ankommt?","Pronombres en akkusativ",2
"Ella nos invitó aunque no nos conocía bien","Sie hat uns eingeladen, obwohl sie uns nicht gut kannte","Pronombres en akkusativ",2
"No pude encontrarlo en ninguna parte","Ich konnte ihn nirgendwo finden","Pronombres en akkusativ",2
"Ellos quieren apoyarnos en el proyecto","Sie wollen uns bei dem Projekt unterstützen","Pronombres en akkusativ",2
"Necesito que la llames para aclarar todo","Ich brauche, dass du sie anrufst, um alles zu klären","Pronombres en akkusativ",2
"¿Lo puedes guardar hasta mañana?","Kannst du es bis morgen aufbewahren?","Pronombres en akkusativ",2
"El conductor no me vio cruzar la calle","Der Fahrer hat mich nicht die Straße überqueren sehen","Pronombres en akkusativ",2
"Mis amigos quieren sorprenderte en tu cumpleaños","Meine Freunde wollen dich an deinem Geburtstag überraschen","Pronombres en akkusativ",2
"No los escuché por el ruido de la calle","Ich habe sie wegen des Straßenlärms nicht gehört","Pronombres en akkusativ",2
"Ella quiere llevarnos con su familia el fin de semana","Sie möchte uns am Wochenende zu ihrer Familie mitnehmen","Pronombres en akkusativ",2
"Voy a devolverlo porque no funciona bien","Ich werde es zurückgeben, weil es nicht gut funktioniert","Pronombres en akkusativ",2
"¿Podrías explicarme eso de nuevo, por favor?","Könntest du mir das bitte noch einmal erklären?","Pronombres en akkusativ",2
"No pude alcanzarlos antes de que se fueran","Ich konnte sie nicht erreichen, bevor sie gegangen sind","Pronombres en akkusativ",2
"Necesito verlo para asegurarme de que es correcto","Ich muss es sehen, um sicherzugehen, dass es richtig ist","Pronombres en akkusativ",2
"Ella quiere visitarnos cuando tenga tiempo","Sie möchte uns besuchen, wenn sie Zeit hat","Pronombres en akkusativ",2
"Prometí ayudarte sin importar lo que pase","Ich habe versprochen, dir zu helfen, egal was passiert","Pronombres en akkusativ",2
