"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Me levanto a las siete todos los días","Ich stehe jeden Tag um sieben Uhr auf","Alemán (B1) - Trennbare und untrennbare Verben",0
"Apago la luz antes de dormir","Ich mache das Licht vor dem Schlafen aus","Alemán (B1) - Trennbare und untrennbare Verben",0
"Llego temprano al trabajo","Ich komme früh zur Arbeit an","Alemán (B1) - Trennbare und untrennbare Verben",0
"Compro pan después del trabajo","Ich kaufe nach der Arbeit Brot ein","Alemán (B1) - Trennbare und untrennbare Verben",0
"Llamo a mi madre por la noche","Ich rufe meine Mutter am Abend an","Alemán (B1) - Trennbare und untrennbare Verben",0
"Salgo de casa a las ocho","Ich gehe um acht Uhr aus dem Haus raus","Alemán (B1) - Trennbare und untrennbare Verben",0
"Enciendo la computadora por la mañana","Ich schalte den Computer am Morgen ein","Alemán (B1) - Trennbare und untrennbare Verben",0
"El tren sale a las seis","Der Zug fährt um sechs Uhr ab","Alemán (B1) - Trennbare und untrennbare Verben",0
"Regreso a casa cansado","Ich komme müde nach Hause zurück","Alemán (B1) - Trennbare und untrennbare Verben",0
"Recojo a mi hermano en el aeropuerto","Ich hole meinen Bruder am Flughafen ab","Alemán (B1) - Trennbare und untrennbare Verben",0
"Me pongo una chaqueta porque hace frío","Ich ziehe eine Jacke an, weil es kalt ist","Alemán (B1) - Trennbare und untrennbare Verben",1
"Apunto la fecha en mi calendario","Ich trage das Datum in meinen Kalender ein","Alemán (B1) - Trennbare und untrennbare Verben",1
"Continúo trabajando aunque esté cansado","Ich mache weiter, obwohl ich müde bin","Alemán (B1) - Trennbare und untrennbare Verben",1
"Preparo el café mientras me despierto","Ich bereite den Kaffee vor, während ich aufwache","Alemán (B1) - Trennbare und untrennbare Verben",1
"Busco información en internet","Ich suche im Internet nach Informationen","Alemán (B1) - Trennbare und untrennbare Verben",1
"Invito a mis amigos a cenar","Ich lade meine Freunde zum Abendessen ein","Alemán (B1) - Trennbare und untrennbare Verben",1
"Termino el informe antes de la reunión","Ich schließe den Bericht vor der Besprechung ab","Alemán (B1) - Trennbare und untrennbare Verben",1
"Me doy cuenta del error demasiado tarde","Ich merke den Fehler zu spät","Alemán (B1) - Trennbare und untrennbare Verben",1
"Dejo el teléfono en casa","Ich lasse das Handy zu Hause liegen","Alemán (B1) - Trennbare und untrennbare Verben",1
"Organizo mi día con anticipación","Ich plane meinen Tag im Voraus","Alemán (B1) - Trennbare und untrennbare Verben",1
"Entro al edificio con mi tarjeta","Ich trete mit meiner Karte in das Gebäude ein","Alemán (B1) - Trennbare und untrennbare Verben",1
"Escucho música para relajarme","Ich höre Musik, um mich zu entspannen","Alemán (B1) - Trennbare und untrennbare Verben",1
