"setze_spanisch","setze_deutsch","thema","schwirig_id"
"El coche de mi padre es nuevo","Das Auto meines Vaters ist neu","Genitiv",0
"La casa de mi amiga es grande","Das Haus meiner Freundin ist groß","Genitiv",0
"El color del cielo es azul","Die Farbe des Himmels ist blau","Genitiv",0
"La puerta del jardín está abierta","Die Tür des Gartens ist offen","Genitiv",0
"El nombre del niño es Max","Der Name des Kindes ist Max","Genitiv",0
"El perro de mi hermano duerme mucho","Der Hund meines Bruders schläft viel","Genitiv",0
"La idea del profesor fue interesante","Die Idee des Lehrers war interessant","Genitiv",0
"El libro del estudiante está en la mesa","Das Buch des Schülers liegt auf dem Tisch","Genitiv",0
"La madre de mi amigo cocina bien","Die Mutter meines Freundes kocht gut","Genitiv",0
"El precio del pan ha subido","Der Preis des Brotes ist gestiegen","Genitiv",0
"El trabajo del jefe es difícil","Die Arbeit des Chefs ist schwer","Genitiv",1
"El jardín de la vecina es muy bonito","Der Garten der Nachbarin ist sehr schön","Genitiv",1
"El clima de Alemania es frío","Das Klima Deutschlands ist kalt","Genitiv",1
"La voz del cantante es fuerte","Die Stimme des Sängers ist laut","Genitiv",1
"El sabor del vino es bueno","Der Geschmack des Weins ist gut","Genitiv",1
"La puerta del coche no cierra bien","Die Tür des Autos schließt nicht gut","Genitiv",1
"El color de la pared es blanco","Die Farbe der Wand ist weiß","Genitiv",1
"El bolso de mi madre es rojo","Die Tasche meiner Mutter ist rot","Genitiv",1
"La música del concierto fue increíble","Die Musik des Konzerts war unglaublich","Genitiv",1
"El título del libro me gusta","Der Titel des Buches gefällt mir","Genitiv",1
"El fin de la película fue triste","Das Ende des Films war traurig","Genitiv",1
"El perro de la vecina ladra siempre","Der Hund der Nachbarin bellt immer","Genitiv",1
"El sabor del café es fuerte","Der Geschmack des Kaffees ist stark","Genitiv",1
"El jefe de mi hermano viaja mucho","Der Chef meines Bruders reist viel","Genitiv",1
"El color del mar me encanta","Die Farbe des Meeres gefällt mir","Genitiv",1
"El corazón del hombre late rápido","Das Herz des Mannes schlägt schnell","Genitiv",1
"La cocina del restaurante es famosa","Die Küche des Restaurants ist berühmt","Genitiv",1
"El ruido del tráfico es molesto","Der Lärm des Verkehrs ist störend","Genitiv",1
"La tarea del estudiante es difícil","Die Aufgabe des Schülers ist schwer","Genitiv",1
"El techo de la casa es nuevo","Das Dach des Hauses ist neu","Genitiv",1
"El olor del pan es delicioso","Der Geruch des Brotes ist lecker","Genitiv",1
"El jardín del hotel es hermoso","Der Garten des Hotels ist wunderschön","Genitiv",1
"El sabor de la sopa no me gusta","Der Geschmack der Suppe gefällt mir nicht","Genitiv",1
"El hijo del médico estudia en Berlín","Der Sohn des Arztes studiert in Berlin","Genitiv",1
"El abrigo de mi padre está en el coche","Der Mantel meines Vaters ist im Auto","Genitiv",1
"El sonido del río es relajante","Das Geräusch des Flusses ist entspannend","Genitiv",1
"El reloj del abuelo ya no funciona","Die Uhr des Großvaters funktioniert nicht mehr","Genitiv",1
"La hermana de mi compañero vive en Múnich","Die Schwester meines Kollegen wohnt in München","Genitiv",1
"El olor del perfume es suave","Der Geruch des Parfüms ist sanft","Genitiv",1
"Trotz la lluvia, salimos a caminar","Trotz des Regens gingen wir spazieren","Genitiv",2
"Durante el viaje aprendí mucho","Während der Reise habe ich viel gelernt","Genitiv",2
"Por el tráfico, llegué tarde","Wegen des Verkehrs bin ich zu spät gekommen","Genitiv",2
"El perro duerme dentro de la casa","Innerhalb des Hauses schläft der Hund","Genitiv",2
"Fuera de la ciudad hay silencio","Außerhalb der Stadt ist es still","Genitiv",2
"En lugar del café, tomo té","Anstatt des Kaffees trinke ich Tee","Genitiv",2
"En vez de trabajar, él juega videojuegos","Statt der Arbeit spielt er Videospiele","Genitiv",2
"A pesar del frío, fuimos al lago","Trotz der Kälte sind wir zum See gegangen","Genitiv",2
"Durante el fin de semana, descansamos mucho","Während des Wochenendes haben wir uns erholt","Genitiv",2
"Por culpa del clima, cancelaron el vuelo","Wegen des Wetters wurde der Flug abgesagt","Genitiv",2
"Dentro del edificio hace calor","Innerhalb des Gebäudes ist es warm","Genitiv",2
"Fuera del horario, no se puede entrar","Außerhalb der Zeit darf man nicht eintreten","Genitiv",2
"En lugar del hermano vino la hermana","Anstatt des Bruders kam die Schwester","Genitiv",2
"A pesar de la lluvia, fue un buen día","Trotz des Regens war es ein schöner Tag","Genitiv",2
"Durante la reunión, nadie habló","Während des Treffens sprach niemand","Genitiv",2
"Por la construcción, la calle está cerrada","Wegen der Baustelle ist die Straße gesperrt","Genitiv",2
"Fuera del parque no hay bancos","Außerhalb des Parks gibt es keine Bänke","Genitiv",2
"Dentro del bosque hay animales","Innerhalb des Waldes gibt es Tiere","Genitiv",2
"En lugar de la sopa pedí ensalada","Anstatt der Suppe bestellte ich einen Salat","Genitiv",2
"Durante el invierno, oscurece temprano","Während des Winters wird es früh dunkel","Genitiv",2
"A pesar del viento, seguimos caminando","Trotz des Windes gingen wir weiter","Genitiv",2
"Por el ruido, no puedo dormir","Wegen des Lärms kann ich nicht schlafen","Genitiv",2
"En vez del maestro vino el director","Statt des Lehrers kam der Direktor","Genitiv",2
"Dentro del museo hace frío","Innerhalb des Museums ist es kalt","Genitiv",2
"Fuera del coche hace mucho calor","Außerhalb des Autos ist es sehr heiß","Genitiv",2
"A pesar de la enfermedad, trabaja","Trotz der Krankheit arbeitet er","Genitiv",2
"Por culpa de la lluvia no salimos","Wegen des Regens sind wir nicht ausgegangen","Genitiv",2
"Durante el día, estudio alemán","Während des Tages lerne ich Deutsch","Genitiv",2
