gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
adjective,,dringend,urgente,,B1,"Ich brauche dringend deine Hilfe.","Necesito urgentemente tu ayuda.",,,
verb_separable,,ausleihen,pedir prestado,,B1,"Kann ich mir dein Buch ausleihen?","¿Puedo pedirte prestado tu libro?","haben","Si","No"
adjective,,leise,callado/suave,,A2,"Bitte sei leise, das Baby schläft.","Por favor, sé silencioso, el bebé duerme.",,,
noun_common,Neutrum,Wörterbuch,diccionario,Wörterbücher,A1,"Ich habe das Wort im Wörterbuch nachgeschlagen.","Busqué la palabra en el diccionario.",,,
adjective,,fortgeschritten,avanzado,,B1,"Das ist ein fortgeschrittener Kurs.","Ese es un curso avanzado.",,,
noun_common,Maskuline,Kurs,curso,Kurse,A1,"Der Kurs beginnt um acht Uhr.","El curso empieza a las ocho.",,,
noun_common,Femenin,Firma,empresa,Firmen,A2,"Die Firma sucht neue Mitarbeiter.","La empresa busca nuevos empleados.",,,
adjective,,überrascht,sorprendido,,A2,"Ich war überrascht über die Nachricht.","Me sorprendió la noticia.",,,
adjective,,weltweit,mundial/en todo el mundo,,B1,"Die Serie ist weltweit bekannt.","La serie es conocida en todo el mundo.",,,
noun_common,Neutrum,Geräusch,ruido,Geräusche,A2,"Ich habe ein seltsames Geräusch gehört.","Escuché un ruido extraño.",,,
adjective,,seltsam,extraño/raro,,A2,"Das ist eine seltsame Situation.","Esa es una situación extraña.",,,
noun_common,Maskuline,Grund,razón,many="Gründe",B1,"Was ist der Grund dafür?","¿Cuál es la razón de eso?",,,
noun_common,Femenin,Veranstaltung,evento/actividad,Veranstaltungen,B1,"Die Veranstaltung findet am Freitag statt.","El evento se lleva a cabo el viernes.",,,
verb_main,,absagen,cancelar,,A2,"Ich muss den Termin absagen.","Tengo que cancelar la cita.","haben","No","No"
determiner_quantifier,,mehrere,varios/as,,A2,"Ich habe mehrere Fragen.","Tengo varias preguntas.",,,
verb_main,,bankrottgehen,quebrar/ir a la quiebra,,B1,"Die Firma ist letztes Jahr bankrott gegangen.","La empresa quebró el año pasado.","sein","No","No"
verb_main,,erfordern,requerir,,B2,"Der Job erfordert viel Geduld.","El trabajo requiere mucha paciencia.","haben","No","No"
noun_common,Maskuline,Verkehr,tráfico,,A2,"Heute gibt es viel Verkehr in der Stadt.","Hoy hay mucho tráfico en la ciudad.",,,
verb_main,,grüßen,saludar,,A1,"Ich grüße meine Nachbarn jeden Morgen.","Saludo a mis vecinos cada mañana.","haben","No","No"
noun_common,Maskuline,Journalist,periodista,Journalisten,B1,"Der Journalist stellt viele Fragen.","El periodista hace muchas preguntas.",,,
noun_common,Femenin,Journalistin,periodista,Journalistinnen,B1,"Die Journalistin schreibt einen Artikel.","La periodista escribe un artículo.",,,
