gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
noun_common,Femenin,Geduld,paciencia,,A2,"Man braucht Geduld, um Deutsch zu lernen.","Se necesita paciencia para aprender alemán.",,,
noun_common,Femenin,Nachricht,noticia / mensaje,Nachrichten,A1,"Ich habe eine wichtige Nachricht bekommen.","Recibí un mensaje importante.",,,
noun_common,Femenin,Mitteilung,aviso formal / comunicado,Mitteilungen,B1,"Die Firma hat eine offizielle Mitteilung geschickt.","La empresa envió un comunicado oficial.",,,
noun_common,Femenin,Meldung,noticia periodística,Meldungen,B1,"Die Meldung wurde im Fernsehen gezeigt.","La noticia fue mostrada en la televisión.",,,
adverb_manner,,plötzlich,de repente,,A1,"Plötzlich war alles still.","De repente todo estaba en silencio.",,,
verb_reflexive,,ausleihen,pedir prestado,,A2,"Ich leihe mir ein Buch aus der Bibliothek aus.","Pido prestado un libro de la biblioteca.","haben","Si","Si"
adjective,,dekoriert,decorado,,A1,"Das Zimmer ist schön dekoriert.","La habitación está bien decorada.",,,
noun_common,Femenin,Kugel,esfera / bola,Kugeln,A1,"Die Kugeln hängen am Weihnachtsbaum.","Las esferas cuelgan del árbol de Navidad.",,,
noun_common,Maskuline,Weihnachtsbaum,árbol de Navidad,Weihnachtsbäume,A1,"Der Weihnachtsbaum steht im Wohnzimmer.","El árbol de Navidad está en la sala.",,,
noun_common,Femenin,Lichterkette,serie de luces, Lichterketten,A1,"Wir hängen eine Lichterkette ans Fenster.","Colgamos una serie de luces en la ventana.",,,
noun_common,Maskuline,Weihnachtsmann,Santa Claus,,A1,"Der Weihnachtsmann bringt Geschenke.","Santa Claus trae regalos.",,,
verb_main,,leuchten,brillar / iluminar,,A1,"Die Sterne leuchten in der Nacht.","Las estrellas brillan en la noche.","haben","No","No"
noun_common,Femenin,Brille,lentes,Brillen,A1,"Ich trage eine Brille.","Uso lentes.",,,
noun_common,Neutrum,Regal,estantería,Regale,A1,"Das Regal ist voller Bücher.","La estantería está llena de libros.",,,
noun_common,Maskuline,Schrank,armario,Schränke,A1,"Der Schrank steht im Schlafzimmer.","El armario está en el dormitorio.",,,
noun_common,Femenin,Laterne,linterna,Laternen,A1,"Die Laterne leuchtet den Weg.","La linterna ilumina el camino.",,,
noun_common,Femenin,Kerze,vela,Kerzen,A1,"Die Kerze brennt auf dem Tisch.","La vela arde sobre la mesa.",,,
noun_common,Maskuline,Kalender,calendario,Kalender,A1,"Der Kalender hängt an der Wand.","El calendario cuelga en la pared.",,,
noun_common,Neutrum,Türchen,puerta pequeña,Türchen,A2,"Ich öffne ein Türchen im Adventskalender.","Abro una puertita del calendario de adviento.",,,
noun_common,Maskuline,Engel,ángel,Engel,A1,"Der Engel steht auf dem Regal.","El ángel está sobre la estantería.",,,
noun_common,Neutrum,Lagerfeuer,fogata, Lagerfeuer,A2,"Wir sitzen am Lagerfeuer.","Estamos sentados junto a la fogata.",,,
noun_common,Femenin,Kuh,vaca,Kühe,A1,"Die Kuh steht auf der Wiese.","La vaca está en el prado.",,,
noun_common,Maskuline,Zug,tren,Züge,A1,"Der Zug kommt pünktlich an.","El tren llega puntual.",,,
adjective,,gemütlich,acogedor / cómodo,,A1,"Das Zimmer ist sehr gemütlich.","La habitación es muy acogedora.",,,
noun_common,Neutrum,Kissen,almohada, Kissen,A1,"Ich lege meinen Kopf auf das Kissen.","Pongo mi cabeza sobre la almohada.",,,
noun_common,Femenin,Decke,manta / techo,Decken,A1,"Ich liege unter der Decke.","Estoy debajo de la manta.",,,
noun_common,Neutrum,Geschenk,regalo,Geschenke,A1,"Ich habe ein Geschenk bekommen.","Recibí un regalo.",,,
noun_common,Neutrum,Fenster,ventana,Fenster,A1,"Das Fenster ist offen.","La ventana está abierta.",,,
noun_common,Femenin,Fensterbank,repisa de ventana,Fensterbänke,A2,"Eine Pflanze steht auf der Fensterbank.","Una planta está sobre la repisa de la ventana.",,,
noun_common,Femenin,Schneeflocke,copo de nieve,Schneeflocken,A1,"Eine Schneeflocke fällt vom Himmel.","Un copo de nieve cae del cielo.",,,
noun_common,Maskuline,Schnee,nieve,,A1,"Der Schnee ist kalt.","La nieve está fría.",,,
noun_common,Maskuline,Schneemann,hombre de nieve,Schneemänner,A1,"Die Kinder bauen einen Schneemann.","Los niños construyen un hombre de nieve.",,,
verb_main,,schütten,llover fuerte / verter,,B1,"Es schüttet den ganzen Tag.","Llueve a cántaros todo el día.","haben","No","No"
adverb_manner,,irgendwie,de alguna manera,,A2,"Irgendwie klappt es immer.","De alguna manera siempre funciona.",,,
adjective,,spannend,emocionante,,A1,"Der Film ist sehr spannend.","La película es muy emocionante.",,,
adjective,,lustig,divertido,,A1,"Der Abend war sehr lustig.","La noche fue muy divertida.",,,
adjective,,anstrengend,agotador,,A1,"Der Tag war anstrengend.","El día fue agotador.",,,
adjective,,aufregend,emocionante / excitante,,A1,"Das Spiel war aufregend.","El juego fue emocionante.",,,
adjective,,wütend,enojado,,A1,"Er ist sehr wütend.","Él está muy enojado.",,,
verb_main,,öffnen,abrir (formal),,A1,"Bitte öffnen Sie die Tür.","Por favor, abra la puerta.","haben","No","No"
verb_separable,,aufgehen,abrirse solo,,A2,"Die Tür geht langsam auf.","La puerta se abre lentamente.","sein","Si","No"
