"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Tengo un perro que es muy tranquilo","Ich habe einen Hund, der sehr ruhig ist","Relativsätze",0
"Conozco a una mujer que trabaja aquí","Ich kenne eine Frau, die hier arbeitet","Relativsätze",0
"Vivo en una ciudad que es muy grande","Ich lebe in einer Stadt, die sehr groß ist","Relativsätze",0
"Compro un pan que está fresco","Ich kaufe ein Brot, das frisch ist","Relativsätze",0
"Tengo un amigo que habla alemán","Ich habe einen Freund, der Deutsch spricht","Relativsätze",0
"Es un libro que me gusta mucho","Es ist ein Buch, das mir sehr gefällt","Relativsätze",0
"Busco un trabajo que sea interesante","Ich suche einen Job, der interessant ist","Relativsätze",0
"Tengo una casa que es pequeña","Ich habe ein Haus, das klein ist","Relativsätze",0
"Hay una tienda que abre temprano","Es gibt einen Laden, der früh öffnet","Relativsätze",0
"Veo una película que es divertida","Ich sehe einen Film, der lustig ist","Relativsätze",0
"El hombre que vive aquí es amable","Der Mann, der hier wohnt, ist freundlich","Relativsätze",1
"La mujer que me ayudó trabaja en la oficina","Die Frau, die mir geholfen hat, arbeitet im Büro","Relativsätze",1
"El coche que compré ayer es nuevo","Das Auto, das ich gestern gekauft habe, ist neu","Relativsätze",1
"Busco un restaurante que tenga comida italiana","Ich suche ein Restaurant, das italienisches Essen hat","Relativsätze",1
"El compañero con el que hablo es ingeniero","Der Kollege, mit dem ich spreche, ist Ingenieur","Relativsätze",1
"El libro que estoy leyendo es interesante","Das Buch, das ich gerade lese, ist interessant","Relativsätze",1
"La ciudad en la que vivo es tranquila","Die Stadt, in der ich lebe, ist ruhig","Relativsätze",1
"El jefe que conocimos ayer es muy directo","Der Chef, den wir gestern kennengelernt haben, ist sehr direkt","Relativsätze",1
"La persona que llamó no dejó mensaje","Die Person, die angerufen hat, hat keine Nachricht hinterlassen","Relativsätze",1
"El problema que tenemos es serio","Das Problem, das wir haben, ist ernst","Relativsätze",1
"El amigo al que escribí no respondió","Der Freund, dem ich geschrieben habe, hat nicht geantwortet","Relativsätze",1
"El lugar donde trabajo queda lejos","Der Ort, an dem ich arbeite, liegt weit weg","Relativsätze",1
"La película que vimos anoche fue larga","Der Film, den wir gestern Abend gesehen haben, war lang","Relativsätze",1
"El proyecto en el que trabajo es importante","Das Projekt, an dem ich arbeite, ist wichtig","Relativsätze",1
"La mujer cuyo coche es rojo vive aquí","Die Frau, deren Auto rot ist, wohnt hier","Relativsätze",1
"El restaurante al que vamos siempre está lleno","Das Restaurant, in das wir immer gehen, ist immer voll","Relativsätze",1
"El día en que nos conocimos fue especial","Der Tag, an dem wir uns kennengelernt haben, war besonders","Relativsätze",1
"La empresa para la que trabajo es internacional","Die Firma, für die ich arbeite, ist international","Relativsätze",1
"El mensaje que me enviaste fue claro","Die Nachricht, die du mir geschickt hast, war klar","Relativsätze",1
"El profesor que nos explicó todo fue paciente","Der Lehrer, der uns alles erklärt hat, war geduldig","Relativsätze",1
"El hombre al que le hablé no entendió el problema","Der Mann, dem ich gesprochen habe, hat das Problem nicht verstanden","Relativsätze",2
"La reunión en la que discutimos el tema duró horas","Das Treffen, in dem wir das Thema besprochen haben, hat Stunden gedauert","Relativsätze",2
"El proyecto que el equipo desarrolló tuvo éxito","Das Projekt, das das Team entwickelt hat, war erfolgreich","Relativsätze",2
"La persona con la que trabajo siempre llega tarde","Die Person, mit der ich arbeite, kommt immer zu spät","Relativsätze",2
"El informe que debía entregar aún no está listo","Der Bericht, den ich abgeben sollte, ist noch nicht fertig","Relativsätze",2
"El cliente cuyo pedido llegó tarde se quejó","Der Kunde, dessen Bestellung zu spät angekommen ist, hat sich beschwert","Relativsätze",2
"La ciudad a la que nos mudamos es muy cara","Die Stadt, in die wir gezogen sind, ist sehr teuer","Relativsätze",2
"El problema del que hablamos ayer sigue sin solución","Das Problem, über das wir gestern gesprochen haben, ist noch ungelöst","Relativsätze",2
"El colega con quien discutí el tema tiene razón","Der Kollege, mit dem ich das Thema diskutiert habe, hat recht","Relativsätze",2
"El contrato que firmé contiene muchas condiciones","Der Vertrag, den ich unterschrieben habe, enthält viele Bedingungen","Relativsätze",2
"El curso que estoy tomando requiere mucho tiempo","Der Kurs, den ich gerade mache, erfordert viel Zeit","Relativsätze",2
"El error por el que falló el sistema fue crítico","Der Fehler, durch den das System ausgefallen ist, war kritisch","Relativsätze",2
"La solución que propusiste parece efectiva","Die Lösung, die du vorgeschlagen hast, scheint effektiv zu sein","Relativsätze",2
"El compañero al que le expliqué el proceso entendió todo","Der Kollege, dem ich den Prozess erklärt habe, hat alles verstanden","Relativsätze",2
"La decisión que tomó la empresa afectó a todos","Die Entscheidung, die das Unternehmen getroffen hat, hat alle betroffen","Relativsätze",2
"El software que usamos en el trabajo es complejo","Die Software, die wir bei der Arbeit benutzen, ist komplex","Relativsätze",2
"El cliente con el que negociamos aceptó la oferta","Der Kunde, mit dem wir verhandelt haben, hat das Angebot akzeptiert","Relativsätze",2
"El problema cuya causa desconocemos es grave","Das Problem, dessen Ursache wir nicht kennen, ist ernst","Relativsätze",2
"El día en que todo cambió lo recuerdo bien","Den Tag, an dem sich alles geändert hat, erinnere ich mich gut","Relativsätze",2
"La experiencia que gané trabajando allí fue valiosa","Die Erfahrung, die ich dort gesammelt habe, war wertvoll","Relativsätze",2
