"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Veo al hombre","Ich sehe den Mann","Schwache Nomen",0
"Conozco al chico","Ich kenne den Jungen","Schwache Nomen",0
"Saludo al cliente","Ich grüße den Kunden","Schwache Nomen",0
"Busco al estudiante","Ich suche den Studenten","Schwache Nomen",0
"Ayudo al colega","Ich helfe dem Kollegen","Schwache Nomen",0
"Escucho al señor","Ich höre den Herrn","Schwache Nomen",0
"El nombre es difícil","Der Name ist schwierig","Schwache Nomen",0
"Veo al ser humano","Ich sehe den Menschen","Schwache Nomen",0
"Espero al vecino","Ich warte auf den Nachbarn","Schwache Nomen",0
"Encuentro al mensajero","Ich treffe den Boten","Schwache Nomen",0
"Conozco al cliente nuevo en la oficina","Ich kenne den neuen Kunden im Büro","Schwache Nomen",1
"Estoy hablando con el estudiante después de clase","Ich spreche mit dem Studenten nach dem Unterricht","Schwache Nomen",1
"Veo al hombre en el supermercado","Ich sehe den Mann im Supermarkt","Schwache Nomen",1
"Ayudo al colega con el proyecto","Ich helfe dem Kollegen mit dem Projekt","Schwache Nomen",1
"Busco al chico en el parque","Ich suche den Jungen im Park","Schwache Nomen",1
"Saludo al señor antes de entrar","Ich grüße den Herrn vor dem Eintritt","Schwache Nomen",1
"Confío en el ser humano","Ich vertraue dem Menschen","Schwache Nomen",1
"Espero al cliente desde hace una hora","Ich warte seit einer Stunde auf den Kunden","Schwache Nomen",1
"Trabajo con el estudiante extranjero","Ich arbeite mit dem ausländischen Studenten","Schwache Nomen",1
"El nombre del colega es difícil de pronunciar","Der Name des Kollegen ist schwer auszusprechen","Schwache Nomen",1
"El hombre al que ayudé vive aquí","Der Mann, dem ich geholfen habe, wohnt hier","Schwache Nomen",2
"El cliente con el que hablé llamó otra vez","Der Kunde, mit dem ich gesprochen habe, hat wieder angerufen","Schwache Nomen",2
"El estudiante cuyo nombre olvidé llegó tarde","Der Student, dessen Namen ich vergessen habe, kam zu spät","Schwache Nomen",2
"Hablo con el colega después de la reunión","Ich spreche mit dem Kollegen nach der Besprechung","Schwache Nomen",2
"El señor al que saludamos trabaja aquí","Der Herr, den wir begrüßt haben, arbeitet hier","Schwache Nomen",2
"Confío en el hombre que conocí ayer","Ich vertraue dem Mann, den ich gestern kennengelernt habe","Schwache Nomen",2
"El cliente por el que esperamos no llegó","Der Kunde, auf den wir warten, ist nicht gekommen","Schwache Nomen",2
"El nombre del estudiante no aparece en la lista","Der Name des Studenten steht nicht auf der Liste","Schwache Nomen",2
"El ser humano del que hablamos necesita ayuda","Der Mensch, von dem wir gesprochen haben, braucht Hilfe","Schwache Nomen",2
"El colega con quien trabajo vive lejos","Der Kollege, mit dem ich arbeite, wohnt weit weg","Schwache Nomen",2
"El hombre sin el que no puedo trabajar está de vacaciones","Der Mann, ohne den ich nicht arbeiten kann, ist im Urlaub","Schwache Nomen",2
"El cliente al que escribí respondió tarde","Der Kunde, dem ich geschrieben habe, hat spät geantwortet","Schwache Nomen",2
"El estudiante con el que estudié aprobó el examen","Der Student, mit dem ich gelernt habe, hat die Prüfung bestanden","Schwache Nomen",2
"El nombre del señor fue pronunciado mal","Der Name des Herrn wurde falsch ausgesprochen","Schwache Nomen",2
"El ser humano al que ayudaron estaba agradecido","Der Mensch, dem geholfen wurde, war dankbar","Schwache Nomen",2
"El colega del que aprendí mucho se fue","Der Kollege, von dem ich viel gelernt habe, ist gegangen","Schwache Nomen",2
"El cliente sin el que no hay contrato falta hoy","Der Kunde, ohne den es keinen Vertrag gibt, fehlt heute","Schwache Nomen",2
"El hombre al que llamamos no contestó","Der Mann, den wir angerufen haben, hat nicht geantwortet","Schwache Nomen",2
"El estudiante al que apoyamos trabaja duro","Der Student, den wir unterstützt haben, arbeitet fleißig","Schwache Nomen",2
"El nombre del colega nuevo ya lo olvidé","Den Namen des neuen Kollegen habe ich schon vergessen","Schwache Nomen",2
