"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Me duele la cabeza","Mir tut der Kopf weh","Pronombres en dativ",0
"Te traje un café","Ich habe dir einen Kaffee gebracht","Pronombres en dativ",0
"Él me escribe un mensaje","Er schreibt mir eine Nachricht","Pronombres en dativ",0
"¿Puedes ayudarme?","Kannst du mir helfen?","Pronombres en dativ",0
"Yo te compro un helado","Ich kaufe dir ein Eis","Pronombres en dativ",0
"Mi mamá me prepara comida","Meine Mutter kocht mir Essen","Pronombres en dativ",0
"Te mando saludos","Ich sende dir Grüße","Pronombres en dativ",0
"El profesor nos explica la tarea","Der Lehrer erklärt uns die Aufgabe","Pronombres en dativ",0
"Te deseo un buen día","Ich wünsche dir einen schönen Tag","Pronombres en dativ",0
"Mi amigo me presta su bicicleta","Mein Freund leiht mir sein Fahrrad","Pronombres en dativ",0
"El médico me da una receta","Der Arzt gibt mir ein Rezept","Pronombres en dativ",1
"Mis padres me regalaron un libro","Meine Eltern haben mir ein Buch geschenkt","Pronombres en dativ",1
"¿Puedes decirme la hora?","Kannst du mir die Uhrzeit sagen?","Pronombres en dativ",1
"Le compré flores a ella","Ich habe ihr Blumen gekauft","Pronombres en dativ",1
"¿Puedes enviarme el documento?","Kannst du mir das Dokument schicken?","Pronombres en dativ",1
"¿Te duele algo?","Tut dir etwas weh?","Pronombres en dativ",1
"Él nos ofrece su ayuda","Er bietet uns seine Hilfe an","Pronombres en dativ",1
"¿Por qué no me respondes?","Warum antwortest du mir nicht?","Pronombres en dativ",1
"El mesero nos trajo la cuenta","Der Kellner hat uns die Rechnung gebracht","Pronombres en dativ",1
"El jefe me pidió un informe","Der Chef hat mich um einen Bericht gebeten","Pronombres en dativ",1
"Le conté la verdad a él","Ich habe ihm die Wahrheit erzählt","Pronombres en dativ",1
"¿Podrías prestarme tu computadora?","Könntest du mir deinen Computer leihen?","Pronombres en dativ",1
"Mi compañero me muestra su proyecto","Mein Kollege zeigt mir sein Projekt","Pronombres en dativ",1
"Nos enviaron una invitación","Sie haben uns eine Einladung geschickt","Pronombres en dativ",1
"El conductor me abrió la puerta","Der Fahrer hat mir die Tür geöffnet","Pronombres en dativ",1
"¿Me puedes recomendar un buen restaurante?","Kannst du mir ein gutes Restaurant empfehlen?","Pronombres en dativ",1
"Él les explicó el problema","Er erklärte ihnen das Problem","Pronombres en dativ",1
"Te cuento un secreto","Ich erzähle dir ein Geheimnis","Pronombres en dativ",1
"Mi perro me trae la pelota","Mein Hund bringt mir den Ball","Pronombres en dativ",1
"Te prometo que llegaré temprano","Ich verspreche dir, dass ich früh komme","Pronombres en dativ",1
"No quiero mentirte sobre lo que pasó","Ich möchte dir nicht über das Geschehene lügen","Pronombres en dativ",2
"¿Me podrías mostrar cómo funciona este programa?","Könntest du mir zeigen, wie dieses Programm funktioniert?","Pronombres en dativ",2
"El profesor les recomendó estudiar más","Der Lehrer empfahl ihnen, mehr zu lernen","Pronombres en dativ",2
"Mi amiga me contó que perdió su trabajo","Meine Freundin hat mir erzählt, dass sie ihren Job verloren hat","Pronombres en dativ",2
"Te escribiré tan pronto como tenga tiempo","Ich schreibe dir, sobald ich Zeit habe","Pronombres en dativ",2
"Él siempre me recuerda mis responsabilidades","Er erinnert mich immer an meine Pflichten","Pronombres en dativ",2
"¿Puedes prestarme dinero hasta mañana?","Kannst du mir bis morgen Geld leihen?","Pronombres en dativ",2
"El doctor nos recomendó descansar más","Der Arzt hat uns empfohlen, mehr auszuruhen","Pronombres en dativ",2
"Le expliqué a ella por qué llegué tarde","Ich habe ihr erklärt, warum ich spät ankam","Pronombres en dativ",2
"No quiero causarte problemas","Ich möchte dir keine Probleme bereiten","Pronombres en dativ",2
"El gerente me ofreció una mejor posición","Der Manager hat mir eine bessere Position angeboten","Pronombres en dativ",2
"¿Podrías decirme dónde está la estación?","Könnten Sie mir sagen, wo der Bahnhof ist?","Pronombres en dativ",2
"La empresa nos envió una notificación importante","Die Firma hat uns eine wichtige Mitteilung geschickt","Pronombres en dativ",2
"Siempre les doy a mis amigos buenos consejos","Ich gebe meinen Freunden immer gute Ratschläge","Pronombres en dativ",2
"Mi hermano me pidió que cuidara a su perro","Mein Bruder bat mich, auf seinen Hund aufzupassen","Pronombres en dativ",2
"¿Te gustaría que te prepare algo de comer?","Möchtest du, dass ich dir etwas zu essen mache?","Pronombres en dativ",2
"Él les permite usar su coche","Er erlaubt ihnen, sein Auto zu benutzen","Pronombres en dativ",2
"Te enviaré los detalles cuando los tenga","Ich sende dir die Details, sobald ich sie habe","Pronombres en dativ",2
"Mis padres me enseñaron a cocinar","Meine Eltern haben mir beigebracht zu kochen","Pronombres en dativ",2
"No me debes explicaciones","Du schuldest mir keine Erklärungen","Pronombres en dativ",2
